Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97,Pub3,Pub5,Pub10,Pub25,Pub50,Pub75,Pub90,Pub95,Pub97,Diff3,Diff5,Diff10,Diff25,Diff50,Diff75,Diff90,Diff95,Diff97
1,16.5,-0.13784767,80.45209492,0.039202382,74.76147075,75.44958259,76.52329754,78.35645533,80.45209492,82.61174387,84.61203638,85.83547302,86.64077902,74.81804561,75.49932478,76.56236246,78.37729583,80.45209492,82.59026676,84.57067327,85.78194386,86.57925367,-0.056574859,-0.049742193,-0.039064924,-0.020840499,0,0.021477111,0.041363101,0.053529162,0.061525351
1,17.5,0.014776155,81.44383603,0.039346629,75.63131645,76.3374214,77.43742235,79.31042062,81.44383603,83.633769,85.65431315,86.88645473,87.69597052,75.68839929,76.38757841,77.4767739,79.33137846,81.44383603,83.6122559,85.61295738,86.83299553,87.63457134,-0.057082832,-0.050157013,-0.039351549,-0.020957843,0,0.021513102,0.041355763,0.053459197,0.061399175
1,18.5,0.165304169,82.40543643,0.039494365,76.47095628,77.19523002,78.32168023,80.23453383,82.40543643,84.62514968,86.66541349,87.90595157,88.71949558,76.52855656,77.2458093,78.36132336,80.25561111,82.40543643,84.60359846,86.62405981,87.85255417,88.65821192,-0.057600283,-0.050579282,-0.039643123,-0.021077276,0,0.021551222,0.041353683,0.05339741,0.061283658
1,19.5,0.313301809,83.33938063,0.039644238,77.28300001,78.02559584,79.1786261,81.13130578,83.33938063,85.58837479,87.64785881,88.89651687,89.71393273,77.3411245,78.07660252,79.21856401,81.15250374,83.33938063,85.56678396,87.60650304,88.84317438,89.65275537,-0.058124488,-0.051006676,-0.039937911,-0.02119796,0,0.021590829,0.04135578,0.053342497,0.061177359
1,20.5,0.458455471,84.24783394,0.039795189,78.06971429,78.83076661,80.01048051,82.00292107,84.24783394,86.5256172,88.60385242,89.86038176,90.68153436,78.12836755,78.88220395,80.05071504,82.02424031,84.24783394,86.50398577,88.5624912,89.80708833,90.62045524,-0.058653265,-0.051437337,-0.040234536,-0.02131924,0,0.02163143,0.041361213,0.053293432,0.06107912
1,21.5,0.600544631,85.13269658,0.039946388,78.83308172,79.61270882,80.81918694,82.85129371,85.13269658,87.43878685,89.53533266,90.79950901,91.62428129,78.8922666,79.66457861,80.85971886,82.87273432,85.13269658,87.4171142,89.49396332,90.7462596,91.56329326,-0.059184886,-0.051869798,-0.040531918,-0.021440612,0,0.021672647,0.041369341,0.053249412,0.060988028
1,22.5,0.739438953,85.9956488,0.040097181,79.57484556,80.37315285,81.6064575,83.67811296,85.9956488,88.32957471,90.44401549,91.71563468,92.54392389,79.63456346,80.42545568,81.64728665,83.69967461,85.9956488,88.30786055,90.40263591,91.66242499,92.48302068,-0.059717899,-0.05230283,-0.040829153,-0.02156165,0,0.021714154,0.041379579,0.053209686,0.060903202
1,23.5,0.875000447,86.8381751,0.04024706,80.29655659,81.11363482,82.37380806,84.48487091,86.8381751,89.19947894,91.33142741,92.6103075,93.44202663,80.35680765,81.16637022,82.41493357,84.50655294,86.8381751,89.1777232,91.29003583,92.55713369,93.38120251,-0.060251063,-0.052735399,-0.041125502,-0.02168203,0,0.021755743,0.041391575,0.053173807,0.060824122
1,24.5,1.00720807,87.66160934,0.040395626,80.9995873,81.83551818,83.12258949,85.27290404,87.66160934,90.04984549,92.19893497,93.48490873,94.31998042,81.06037074,81.88868489,83.16400989,85.29470553,87.66160934,90.02804829,92.15753004,93.43176749,94.25923029,-0.06078344,-0.053166717,-0.041420395,-0.021801488,0,0.021797206,0.041404935,0.053141241,0.060750136
1,25.5,0.837251351,88.45247282,0.040577525,81.74463953,82.58135344,83.87244978,86.03702902,88.45247282,90.87870056,93.07143353,94.38774522,95.24419299,81.8052937,82.63445202,83.91387064,86.05887745,88.45247282,90.85675457,93.02966054,94.33406648,95.18278047,-0.060654169,-0.053098572,-0.041420859,-0.021848429,0,0.021945983,0.041772981,0.053678749,0.061412519
1,26.5,0.681492975,89.22326434,0.040723122,82.47365273,83.31105283,84.60576246,86.78329346,89.22326434,91.68467603,93.91817465,95.26300076,96.13961611,82.5341574,83.36406112,84.64716151,86.8051731,89.22326434,91.6626041,93.87608163,95.20884914,96.07761711,-0.060504668,-0.05300829,-0.041399049,-0.02187964,0,0.022071923,0.04209302,0.054151617,0.061998995
1,27.5,0.538779654,89.97549228,0.040833194,83.18812206,84.02609006,85.32398912,87.513174,89.97549228,92.46928892,94.74063663,96.1121012,97.0076279,83.24845648,84.07898582,85.36534433,87.53506945,89.97549228,92.44711353,94.69827114,96.05754106,96.94511823,-0.060334424,-0.052895768,-0.041355215,-0.021895447,0,0.022175388,0.042365498,0.054560139,0.062509666
1,28.5,0.407697153,90.71040853,0.040909059,83.88930684,84.72769162,86.02832996,88.22787587,90.71040853,93.23384749,95.54016226,96.93639476,97.84957201,83.94944982,84.78045262,86.06961974,88.24977223,90.71040853,93.21159029,95.49757027,96.88148848,97.78662531,-0.060142976,-0.052761003,-0.041289782,-0.021896362,0,0.0222572,0.042591994,0.054906279,0.062946695
1,29.5,0.286762453,91.42907762,0.040952433,84.57826389,85.41688027,86.71977994,88.92840117,91.42907762,93.97950843,96.31799565,97.73717289,98.66676679,84.63819399,85.46948449,86.76098331,88.95028421,91.42907762,93.95718995,96.27522083,97.68197981,98.6034532,-0.059930099,-0.052604214,-0.041203366,-0.021883035,0,0.022318473,0.04277482,0.055193082,0.063313592
1,30.5,0.174489485,92.13242379,0.04096533,85.25588692,86.09451745,87.39917477,89.61559787,92.13242379,94.70731654,97.0753111,98.51569104,99.46052027,85.31558277,86.1469433,87.44027154,89.63745411,92.13242379,94.68495599,97.03239427,98.46026663,99.39690538,-0.059695854,-0.052425856,-0.041096769,-0.021856239,0,0.022360546,0.04291684,0.055424417,0.063614892
1,31.5,0.069444521,92.82127167,0.040949976,85.9229396,86.76133892,88.06722988,90.29020177,92.82127167,95.41823885,97.8132366,99.27318378,100.2321391,85.98238019,86.81356554,88.10820085,90.3120186,92.82127167,95.39585394,97.77021533,99.2175791,100.1682833,-0.059440593,-0.052226617,-0.040970965,-0.021816832,0,0.022384901,0.043021273,0.055604681,0.063855803
1,32.5,-0.029720564,93.49637946,0.040908737,86.58008511,87.41798587,88.72457345,90.95287107,93.49637946,96.11319217,98.53287254,100.0108765,100.9829352,86.63925011,87.46999332,88.76540055,90.97463683,93.49637946,96.09079906,98.48978097,99.95513792,100.9188932,-0.059164994,-0.052007448,-0.040827101,-0.021765753,0,0.022393112,0.043091575,0.05573863,0.064041991
1,33.5,-0.124251789,94.15846546,0.040844062,87.22791274,88.06503203,89.37177427,91.60421467,94.15846546,96.79306504,99.23530653,100.7299947,101.7142301,87.28678276,88.11680155,89.41244073,91.62591867,94.15846546,96.77067824,99.19217521,100.6741635,101.6500508,-0.058870022,-0.051769512,-0.040666462,-0.021703995,0,0.022386808,0.043131319,0.055831199,0.064179355
1,34.5,-0.215288396,94.80822923,0.040758431,87.86696172,88.70300745,90.00936536,92.24481515,94.80822923,97.4587349,99.92162482,101.4317705,102.4273592,87.92551862,88.75452162,90.04985581,92.26644774,94.80822923,97.43636727,99.8784807,101.3758831,102.3630853,-0.058556899,-0.051514172,-0.040490451,-0.021632589,0,0.022367634,0.043144122,0.055887401,0.064273869
1,35.5,-0.30385434,95.44636981,0.040654312,88.49774096,89.33241837,90.63786404,92.87524861,95.44636981,98.11108261,100.5929212,102.1174472,103.1236716,88.55596799,89.38366128,90.67816458,92.89680119,95.44636981,98.08874542,100.5497877,102.0615351,103.0593402,-0.058227028,-0.051242911,-0.040300534,-0.021552574,0,0.022337197,0.043133513,0.055912139,0.064331419
