Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,86.5,-0.809394398,12.24173753,0.075814185,10.69638497,10.87044435,11.14869679,11.64346692,12.24173753,12.89804158,13.5453628,13.96153752,14.24440109
1,87.5,-0.812636889,12.46815824,0.075788413,10.89500657,11.07217344,11.35540546,11.85906768,12.46815824,13.13642183,13.79563586,14.21950956,14.50763019
1,88.5,-0.822186712,12.69567298,0.075792075,11.0946752,11.27488782,11.56303507,12.07558197,12.69567298,13.37634196,14.04815191,14.48031873,14.77416503
1,89.5,-0.838354876,12.92458613,0.075826044,11.29567376,11.47886643,11.77186133,12.29328999,12.92458613,13.6181589,14.30334895,14.74447181,15.044567
1,90.5,-0.861449493,13.15520182,0.075891019,11.49828978,11.68439228,11.98216306,12.51247319,13.15520182,13.86222981,14.56166964,15.01248591,15.31941326
1,91.5,-0.891773904,13.38782185,0.075987476,11.70281463,11.89175157,12.19422113,12.73341284,13.38782185,14.10890963,14.82355899,15.28488689,15.59929608
1,92.5,-0.929617736,13.6227442,0.076115636,11.90954225,12.10123261,12.4083174,12.95638887,13.6227442,14.35854899,15.08946216,15.5622076,15.88482163
1,93.5,-0.975268944,13.86025986,0.076275395,12.1187693,12.31312548,12.62473383,13.18167788,13.86025986,14.61149059,15.35982164,15.84498667,16.17661055
1,94.5,-1.028990493,14.10065234,0.076466299,12.33079298,12.52772045,12.84375146,13.40955269,14.10065234,14.86806787,15.63507513,16.13376622,16.47529604
1,95.5,-1.091024455,14.34419522,0.076687482,12.54591071,12.74530738,13.06564953,13.64028082,14.34419522,15.12860179,15.91565257,16.42909034,16.78152407
1,96.5,-1.161574946,14.59115139,0.076937631,12.76441819,12.9661743,13.29070461,13.87412402,14.59115139,15.39339911,16.20197359,16.73150285,17.09595206
1,97.5,-1.240820737,14.84177007,0.077214912,12.98660961,13.19060724,13.5191898,14.11133652,14.84177007,15.66274835,16.494444,17.04154573,17.41925008
1,98.5,-1.328879402,15.0962879,0.077516968,13.21277431,13.41888786,13.75137383,14.3521657,15.0962879,15.93691963,16.79345342,17.35975605,17.75209809
1,99.5,-1.425809463,15.35492729,0.077840877,13.44319598,13.65129272,13.98752021,14.59685108,15.35492729,16.21616173,17.09937174,17.68666374,18.09518631
1,100.5,-1.531575592,15.61789822,0.078183177,13.67814897,13.88809057,14.22788616,14.8456253,15.61789822,16.50070256,17.41254676,18.02278798,18.44921206
1,101.5,-1.646081976,15.88539464,0.078539804,13.91789949,14.12954284,14.47272193,15.09871195,15.88539464,16.79074422,17.73329941,18.36863542,18.81488277
1,102.5,-1.769082483,16.15760201,0.078906277,14.16269719,14.37589784,14.722269,15.35632936,16.15760201,17.08646948,18.06192364,18.72469422,19.19290687
1,103.5,-1.900221246,16.43469418,0.079277694,14.41277633,14.62739094,14.97675902,15.61868832,16.43469418,17.38803782,18.39868195,19.09143177,19.58399633
