Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,13.5,0.172393886,46.77637684,0.027545148,44.40441201,44.69638826,45.14908116,45.91397652,46.77637684,47.65213989,48.4519147,48.93583823,49.25225076
1,14.5,0.207371541,47.03017599,0.027544382,44.6432831,44.93732702,45.39309769,46.16284044,47.03017599,47.9103782,48.71370522,49.19954641,49.51711865
1,15.5,0.270226126,47.2629533,0.027590417,44.85646007,45.1533284,45.61324855,46.38937093,47.2629533,48.14848042,48.95578033,49.44361553,49.76232529
1,16.5,0.355757274,47.47720989,0.02767598,45.0471177,45.34746216,45.81245227,46.5962646,47.47720989,48.36881356,49.18044547,49.67034368,49.99017661
1,17.5,0.459407627,47.67503833,0.027795115,45.21790307,45.52229008,45.99314685,46.78577645,47.67503833,48.57335854,49.38963138,49.88165697,50.20260675
1,18.5,0.577227615,47.85820606,0.0279429,45.37104465,45.67997038,46.1573882,46.95980996,47.85820606,48.76378933,49.58497069,50.07918514,50.40125302
1,19.5,0.705826778,48.02821867,0.028115241,45.50843477,45.82233697,46.30692463,47.1199854,48.02821867,48.94153284,49.767856,50.26431891,50.58751304
1,20.5,0.842319055,48.18636864,0.028308707,45.63169289,45.95096016,46.4432543,47.2676925,48.18636864,49.10781495,49.93948448,50.43825419,50.76258871
1,21.5,0.984266833,48.3337732,0.028520407,45.74221477,46.06719402,46.56766983,47.4041314,48.3337732,49.26369641,50.10089268,50.60202648,50.92752068
1,22.5,1.129626698,48.47140432,0.028747896,45.84121112,46.17221358,46.68129357,47.53034509,48.47140432,49.41010098,50.25298383,50.75653813,51.0832155
1,23.5,1.276691223,48.60011223,0.028989089,45.92973857,46.26704456,46.78510558,47.64724492,48.60011223,49.54783776,50.39654965,50.90258011,51.23046767
1,24.5,1.424084853,48.72064621,0.029242207,46.00872286,46.35258644,46.87996641,47.75563267,48.72064621,49.67762038,50.53228805,51.04084871,51.36997568
1,25.5,1.570621291,48.83366629,0.029505723,46.07898233,46.42963351,46.96663488,47.85621436,48.83366629,49.80007885,50.6608169,51.17196156,51.50235977
1,26.5,1.715393998,48.93976089,0.029778323,46.14123974,46.49888834,47.0457837,47.9496179,48.93976089,49.91577508,50.78268619,51.29646691,51.62816923
1,27.5,1.857652984,49.03945383,0.030058871,46.19613885,46.56097639,47.11801133,48.03640172,49.03945383,50.02521023,50.89838727,51.41485491,51.74789519
1,28.5,1.996810563,49.13321432,0.030346384,46.24425435,46.61645615,47.18385241,48.11706526,49.13321432,50.12883385,51.00836092,51.52756491,51.8619775
1,29.5,2.132411346,49.22146409,0.030640006,46.28610129,46.66582817,47.24378625,48.19205668,49.22146409,50.22705052,51.11300399,51.63499226,51.97081164
1,30.5,2.264111009,49.30458348,0.030938992,46.32214286,46.70954267,47.29824404,48.26177952,49.30458348,50.32022568,51.212675,51.73749389,52.0747544
1,31.5,2.391658052,49.38291658,0.031242693,46.35279696,46.7480058,47.34761489,48.32659828,49.38291658,50.4086904,51.30769888,51.83539311,52.17412868
1,32.5,2.514878222,49.45677569,0.031550537,46.37844176,46.78158515,47.39225099,48.38684322,49.45677569,50.49274559,51.39837096,51.92898358,52.26922758
1,33.5,2.633661226,49.526445,0.031862026,46.39942043,46.81061427,47.43247203,48.44281439,49.526445,50.57266545,51.48496048,52.01853284,52.36031789
1,34.5,2.747949445,49.59218385,0.03217672,46.41604524,46.83539667,47.46856894,48.49478513,49.59218385,50.64870057,51.56771347,52.10428523,52.44764311
1,35.5,2.857728375,49.65422952,0.032494231,46.42860105,46.85620919,47.50080715,48.54300509,49.65422952,50.72108047,51.64685536,52.18646448,52.53142603
1,36,2.910932095,49.68393611,0.032653934,46.43343534,46.86520671,47.51555592,48.56578071,49.68393611,50.75596627,51.68513749,52.22627901,52.57205364
